"Protein","x"
"Q84P96","osa01100 osa01110 osa04146 osa00592 osa00071 osa00280 osa01212 osa01040"
"Q84PA4","osa01100 osa00190 osa00195"
"Q84PB4","osa01100 osa00195"
"Q84PB5","osa00195"
"Q84QT9","osa01100 osa01110 osa00010 osa00030 osa00051"
"Q84SZ1","osa04130"
"Q84SZ6","osa04144"
"Q84T92","osa01100 osa01110 osa00941"
"Q84TA3","osa01100 osa00590"
"Q84TX6","osa01100 osa00010 osa00562"
"Q84VG1","osa04144"
"Q84YK7","osa01100 osa01110 osa00500 osa00940 osa00460"
"Q84ZL6","osa01100 osa01110 osa01200 osa01230 osa00030"
"Q84ZY2","osa01100 osa01110 osa01200 osa01230 osa00710 osa00030"
"Q850T5","osa00195"
"Q850W6","osa03010"
"Q850Z8","osa01100 osa01110 osa00230"
"Q851K9","osa00970"
"Q851S8","osa01100 osa00230 osa00250"
"Q851Y8","osa04626"
"Q852A6","osa04141"
"Q852M0","osa01100 osa01200 osa00250 osa00220 osa00910"
"Q8GS72","osa01100 osa00190"
"Q8GTK7","osa01100 osa00190"
"Q8GVH7","osa01100 osa00190"
"Q8GVI0","osa03013"
"Q8GVN6","osa01100 osa01110 osa00561 osa00564"
"Q8H2J8","osa03010"
"Q8H2T7","osa01100 osa00190"
"Q8H386","osa03008 osa04712"
"Q8H4E0","osa01100 osa01110 osa01200 osa00710 osa00620 osa00630 osa00020 osa00270"
"Q8H4P7","osa00195"
"Q8H4V1","osa01100 osa01200 osa00710 osa00620"
"Q8H588","osa03010"
"Q8H5T5","osa03008"
"Q8H631","osa01100 osa01110 osa01200 osa04146 osa00592 osa00071 osa01212 osa00410 osa00640 osa01040"
"Q8H7S6","osa01100 osa01110 osa00500"
"Q8H7S7","osa04075"
