Uniprot,Means.2Moderate,Means.3Extreme,Means.4Recovery,Means.5ControlA
Q6K796,-0.00672479,-0.014058453,0.021505277,-0.031702921
Q0DWX6,-0.026055603,-0.004726122,0.012125501,-0.017024313
Q6K200,0.007198408,0.005185907,0.018936034,-0.012539242
Q6K955,0.033714275,0.011043186,0.039175486,0.006207529
Q0E243,-0.070727596,-0.121051405,-0.045993793,-0.034747358
Q6K6A6,0.008529677,-0.113333147,-0.038557211,-0.052460811
Q0J366,0.009632974,0.000901617,-0.010648698,-0.016360645
Q6L5I4,-0.009676541,0.044129401,0.022007003,0.001248724
Q6L5C6,-0.006198904,-0.105684896,-0.007892076,-0.026333148
Q6L4Z3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q6L4R8,-0.166489077,-0.223135818,-0.271443423,-0.347929412
Q6L4R1,-0.038470324,0.130197626,-0.007170775,-0.021158593
G3CKJ0,-0.010860773,0.007880852,-0.016217277,-0.005433163
